,item_number,Description,category
27,28,"Framed satirical courtroom prints, including ""The Hung Jury"" and a French illustration captioned “Les gens de justice.” One features caricatured judges and jurors by Charles Bragg, the other a dramatic legal scene, possibly a vintage lithograph with handwritten text.",Art
28,29,"Round glass-top coffee table with a sculptural wood base in a natural finish. The intersecting curved supports create a dynamic mid-century modern aesthetic, blending organic form with minimalist design. Clear glass enhances visibility of the artistic wooden structure.",Furniture
29,30," Mobile teak table with chrome pedestal base and caster wheels, designed and made by Danecastle ApS in Denmark. Features dual-tiered rectangular surfaces with an adjustable clamp mechanism for positioning and height control, offering functional mid-century modern style.",Furniture
30,31,Mid-century modern lounge chair featuring sculpted wood frame and rich cognac leather sling seat and backrest. The leather is secured with stitched edge detailing and adjustable buckle straps for added tension and comfort. Distinctive cutouts enhance both function and form.,Furniture
31,32,"Two ceramic tiles: one with a delicate pastel floral design signed “Rufinelli Assisi,” the other in bold red featuring black-and-white stylized angelfish. Both measure about 12 inches tall and contrast in tone and style.",Art
32,33,Mid-century Drexel dresser with a sleek walnut finish and distinctive paneled doors. Includes multiple compartments with both drawer and shelf storage. Interior drawer stamped with the Drexel Furniture mark. Clean lines and quality craftsmanship reflect a classic modernist design.,Furniture
33,34,"Low-profile coffee table featuring a rectangular teak veneer top and squared block legs. Hidden drawer opens from the side, revealing white laminate lining. Clean-lined design complements a modern or minimalist interior with practical concealed storage.",Furniture
34,35,"Tall wooden case clock with an arched bonnet and ornate gold-accented face. Features Roman numeral enamel dial marked “Jean le Comtois, Haut-Jura” and intricate hands. Lower section has a glass door revealing the pendulum compartment.",Clocks
35,36,"Gothic-style antique mantel clock with a dark wood case and arched glass door. Features a worn brass-tone clock face with Roman numerals, decorative floral accents below the dial, and a visible internal brass bell. Classic and aged aesthetic.",Clocks
36,37,"Red Le Creuset terrine dish with a cream interior and matching lid. Marked “Made in France 32,” it’s crafted from durable enameled cast iron, ideal for pâtés, terrines, and other baked dishes. Classic, functional, and collectible.",Cookware
37,38,"Handcrafted model of the Mayflower marked “1620,” resting on a carved wooden base. Features aged, fabric sails, painted hull details, and rigging reminiscent of historical maritime craftsmanship. Shows wear and patina that enhance its antique character.",Collectibles
38,39,"Green ceramic pitcher with carved leaf motif and a rounded spout, showing a weathered surface and hand-inscribed number ""352½"" on the base. Paired with an ornate cast metal cross featuring floral scrollwork and distressed bronze finish.",Art
39,40,"Handcrafted metal angel wall hanging with intricate detailing across the wings and robe. Made by Haitian artisan DRUMM, this piece showcases traditional repoussé techniques in a silvery finish. Includes hanging holes for easy display.",Decorative
40,41,"Mr. Coffee Café Barista espresso machine with an assortment of accessories including three portafilters, tamping scoops, brew baskets, and a bean grinder (model IDS77, 170W). Designed for household use with settings for espresso, cappuccino, and latte brewing.",Kitchen Appliance
41,42,"Set of three decorative swords, each marked “Toledo, Made in Spain.” Blades show patina and age, with ornate guards featuring scrollwork and textured grips. Likely intended as collectible wall hangers or display pieces rather than functional weapons.",Decorative
42,43,"Ornate handwoven area rug with a raised floral medallion centerpiece, vibrant pastel palette, and rich blue background. Intricate border designs in soft pinks, yellows, and ivory complete the look. Measures approximately 75 inches by 50 inches (6.25 feet by 4.17 feet).",Rugs
43,44,"Hand-tufted Royal Ashan area rug by Downs Carpet Company in a warm Shahi gold palette. Made of all-virgin wool with a detailed medallion and floral border. Medium pile height and dense backing for durability and comfort. Measures approximately 4'6"" by 6'.",Rugs
44,45,"Handwoven wool rug from the Soumak Collection, Mahal 675 design, in a soft ivory field with intricate botanical motifs in muted greens, golds, and rust tones. Finished with fringe edges. Measures approximately 4 feet by 8 feet.",Rugs
45,46,"Set of three All-Clad stainless steel pans, including two fry pans and a sauté pan with lid. Heavy-duty construction with riveted handles and a polished finish. Interior shows surface wear consistent with frequent use.",Cookware
46,47,"Towel Sterling silver flatware set in the 1973 ""Old Master"" pattern. Includes forks, spoons, and knives with ornate floral detailing. Total weight is approximately 1,399.4 grams. Comes with a two-tier wooden storage chest lined in dark felt.",Flatware
47,48,"Pair of rectangular sterling silver military captains bars, weighing approximately 14.3 grams. Accompanied by a twisted gold-toned bracelet marked “Italy,” weighing 4.2 grams. Together they form a sleek vintage accessory set with a refined, understated style.",Jewelry
48,49,"Kenmore Elite electric dryer, model 110.66942501, with timed and auto-sensing dry cycles, temperature control, and signal volume adjustment. Standard white finish with front-load door and push-to-start feature. Requires 3- or 4-wire 240V electrical connection.",Appliances
49,50,"CST/Berger Universal Contractor's Aluminum Tripod, model #60-ALQCI20. Lightweight and durable with flat head, quick clamp leg release, and replaceable shoe points. Compatible with most laser and auto levels. Designed in the USA, made in India.",Tools
50,51,"Delta Sawbuck frame and trim saw, model 33-150, powered by a 115V AC motor with a 5/8"" arbor for use with 5500 RPM blades. Designed for precision framing cuts, mounted on a wheeled stand for portability. Made in the USA.",Tools
51,52,"Troy-Bilt 4-cycle gas-powered cultivator with a 26.2cc engine, compliant with EPA and California emissions regulations. Lightweight and compact with forward-rotating tines and durable wheels for maneuverability. Manufactured in 2008 with a 50-hour emissions compliance period.",Garden Tools
52,53,"Snapper 22-inch self-propelled walk-behind mower powered by a Briggs & Stratton 6.75 horsepower 190cc engine. Model SPV22675HW with rear bagging system, large rear wheels for easier handling, and adjustable handle height for user comfort.",Tools
53,54,"Pair of vintage metal mechanical banks designed in the shape of a rocket and a planet with ring. Manufactured by Duro Mold and MFG Inc., Detroit, MI, and used as promotional pieces for Girard Battles National Bank. Distinct patina throughout.",Collectibles
54,55,Framed Bob Dylan collector's set featuring a large men's T-shirt with vintage-style album artwork. Includes a printed insert highlighting Dylan’s career and musical influence. A great display piece for fans of classic folk and rock music.,Collectibles
55,56,"Husqvarna 136LE chainsaw powered by a 36cc 2-cycle engine. Made in the USA, designed to meet 2004 EPA and CARB emission standards with a 50-hour durability rating. Features include ergonomic handles and bar guard for enhanced safety and handling.",Tools
56,57,"Vintage Lionel Lines O-gauge electric train set featuring engine 2037, caboose 6017, several assorted freight cars, curved and straight track, transformer, and train station. Includes branded cars such as High Valley and distinctive tankers, log cars, and boxcars.",Collectibles
57,58,"Hitachi NT65MA2 2-1/2” finish nailer with angled magazine, ergonomic grip, and depth adjustment. Housed in its original molded case with safety glasses and manual included. Designed for 15-gauge nails, ideal for trim and molding work.",Tools
58,59,"Pair of Continental ProContact TX tires, size 185/50R16 81H, manufactured in 2015. Tires are unused with original labeling still attached. Clean tread and sidewalls suggest they have been stored well and remain in excellent condition.",Tires
59,60,"Set of two space heaters including a LifeSmart 1500W infrared model with cord wrap and a DeLonghi HM-15 oil-filled radiator heater, both rated for 120V household use. Ideal for supplemental heating in small rooms or garages.",Heating Equipment
